Lens ID,Title,Date Published,Publication Year,Publication Type,Author/s,Abstract,Fields of Study,Keywords,Citing Works Count
109-018-490-875-713,Research on the Impact of Government Investment on Enterprise R&D Innovation——Based on the Mediation Effect Model,2021-08-17,2021,,Kejia Li; Yirong Li; Wenbo Liu; Yuancai Wei,"Although government procurement is used as a demand-side innovation policy tool in many countries, how government procurement affects corporate technological innovation is still controversial, and its mechanism has not been empirically tested. The research in this paper finds that, from the perspective of enterprises, government procurement should be measured from the scale of government procurement contracts obtained by enterprises and the degree of support from government purchasers. The scale of procurement contracts obtained by enterprises and the degree of support obtained by enterprises from purchasers have an impact on the input and output of enterprise technological innovation. It has a significant positive role in promoting, and technological innovation investment plays an intermediary role in it.",Business; Government; Mediation; Procurement; Investment (macroeconomics); Government procurement; Industrial organization; Scale (social sciences),,0
109-075-113-832-129,Formation and Development of Technological Innovation Capability in New Technology Base Firms in the Medical Equipment Sector of Fars Province,2021-04-21,2021,,Seyed Reza Salami; Jahanyar Bamdadsoofi; Seyyed Mohammad Ali Khatami Firouz Abadi; Mehrdad Shafiee,"Technological innovation is the backbone of New Technology Based companies and one of the main factors for survival and gaining a competitive advantage for these companies. Creating a continuous flow of innovations in these companies requires the formation of innovation capabilities. This research has been done with an in-depth study of eight new technology based companies in the medical equipment sector of Fars province with a historical approach with the aim of discovering the path of formation and development of this capability in these companies. Using structured interviews and observing and studying the available documents, the required data were collected and using thematic analysis method, semantic expressions were classified in the form of conceptual codes and then sub-main and main themes. Finally, the thematic map of the research is drawn. The results show that the path of formation of technological innovation capability in these companies includes four stages of focusing on finding solutions to solve customer problems, technical and engineering knowledge, regulating management functions and creating internal discipline.",Structured interview; Business; Continuous flow; Management functions; Medical equipment; Knowledge management; Competitive advantage; Thematic analysis; Thematic map,,0
109-496-433-801-941,Urinary expression of let-7c cluster as non-invasive tool to assess the risk of disease progression in patients with high grade non-muscle invasive bladder Cancer: a pilot study,2020-04-17,2020,journal article,Manuela Spagnuolo; Manuela Costantini; Mariaconsiglia Ferriero; Marco Varmi; Isabella Sperduti; Giulia Regazzo; Lucia Cicchillitti; Ana Belén Díaz Méndez; Giovanni Cigliana; Vincenzo Pompeo; Andrea M. Russo; Valentina Laquintana; Riccardo Mastroianni; Giulia Piaggio; Umberto Anceschi; Aldo Brassetti; A.M. Bove; Gabriele Tuderti; Rocco Simone Flammia; Michele Gallucci; Giuseppe Simone; Maria Giulia Rizzo,"High grade non-muscle-invasive bladder cancer (HG-NMIBC) is a heterogeneous disease with variable risk of progression. Urinary microRNAs are promising biomarkers for BC detection and surveillance. Let-7c-5p miRNA, clustered with miR-99a-5p and -125b-5p, is deregulated in cancer, including BC. The aim of this study is to evaluate urinary let-7c cluster expression in Ta/T1 HG-NMIBC patients and its impact on progression-free survival (PFS). Quantitative Real-Time-Polymerase-Chain-Reaction (qRT-PCR) was used to analyze the let-7c cluster expression in 57 urine and 49 neoplastic paired tissue samples prospectively collected from transurethral resection (TUR) HG-NMIBC patients. Twenty urine and 10 bladder tissue samples were collected and analyzed as normal controls. QRT-PCR was also used to detect intra−/extra-cellular let-7c cluster in BC cells. Receiver Operating Characteristic (ROC) curves were used to identify urinary miRNAs cut-off values predicting T-stage and PFS. Uni/multivariable Cox regression was performed to identify predictors of PFS. A nomogram predicting progression risk and a decision curve analysis (DCA) were performed. Urinary let-7c was significantly up-regulated in patients compared with controls, while the whole cluster was down-regulated in tumor tissues. Supporting these findings, in vitro comparison of extra−/intra-cellular ratios of cluster levels between BC cells, showed a higher ratio for let-7c in HG-NMIBC versus low-grade cells. Urinary let-7c cluster expression was increased in higher T-stage and was an independent predictor of progression. Lower EORTC-score and downregulation of urinary cluster were predictors of higher PFS on univariable Cox regression, while on multivariable analysis only cluster expression was an independent progression predictor. On DCA, a benefit was evident for patients with a PFS probability > 20%. Urinary let-7c cluster evaluation may improve prognosis, identifying patients at risk of progression and addressing early radical treatment.",Cancer; Internal medicine; Oncology; Disease cluster; Urine; Bladder cancer; Nomogram; Proportional hazards model; Receiver operating characteristic; Medicine; Urinary system,Let-7c cluster  urinary biomarkers  progression free survival; Non-muscle-invasive bladder cancer; microRNA,9
109-710-689-184-304,Stochastic Petri net model describing the relationship between reported maternal and congenital syphilis cases in Brazil.,2022-02-15,2022,journal article,Ricardo A M Valentim; Gleyson J P Caldeira-Silva; Rodrigo D da Silva; Gabriela A Albuquerque; Ion G M de Andrade; Ana Isabela L Sales-Moioli; Talita K de B Pinto; Angélica E Miranda; Leonardo J Galvão-Lima; Agnaldo S Cruz; Daniele M S Barros; Anna Giselle C D R Rodrigues,"<AbstractText Label=""INTRODUCTION"">Syphilis is a sexually transmitted disease (STD) caused by Treponema pallidum subspecies pallidum. In 2016, it was declared an epidemic in Brazil due to its high morbidity and mortality rates, mainly in cases of maternal syphilis (MS) and congenital syphilis (CS) with unfavorable outcomes. This paper aimed to mathematically describe the relationship between MS and CS cases reported in Brazil over the interval from 2010 to 2020, considering the likelihood of diagnosis and effective and timely maternal treatment during prenatal care, thus supporting the decision-making and coordination of syphilis response efforts.</AbstractText>;           <AbstractText Label=""METHODS"">The model used in this paper was based on stochastic Petri net (SPN) theory. Three different regressions, including linear, polynomial, and logistic regression, were used to obtain the weights of an SPN model. To validate the model, we ran 100 independent simulations for each probability of an untreated MS case leading to CS case (PUMLC) and performed a statistical t-test to reinforce the results reported herein.</AbstractText>;           <AbstractText Label=""RESULTS"">According to our analysis, the model for predicting congenital syphilis cases consistently achieved an average accuracy of 93% or more for all tested probabilities of an untreated MS case leading to CS case.</AbstractText>;           <AbstractText Label=""CONCLUSIONS"">The SPN approach proved to be suitable for explaining the Notifiable Diseases Information System (SINAN) dataset using the range of 75-95% for the probability of an untreated MS case leading to a CS case (PUMLC). In addition, the model's predictive power can help plan actions to fight against the disease.</AbstractText>;           <CopyrightInformation>© 2022. The Author(s).</CopyrightInformation>",Syphilis; Logistic regression; Medicine; Sexually transmitted disease; Health informatics; Statistics; Pediatrics,Congenital syphilis; Maternal syphilis; Stochastic Petri net,5
109-941-230-531-307,An Analysis of the Sustainable Development Path of China's New Government Affairs Media from the Perspective of Science and Technology Innovation,2021-02-03,2021,journal article,Rui Wang,"The Chinese government actively uses the new media platform to disseminate government information and provide government services. Contemporary scientific and technological innovation, with computers and information science and technology as engines, has become the core driving force of “leading development”. This article puts the new media of Chinese government affairs under the perspective of technological innovation, analyzes the bottlenecks and possible solutions it faces, discusses the sustainable development path of new media for Chinese government affairs, and strive to provide some reference for the sustainable development of new media for government affairs in other countries or regions.",Dissemination; Business; Government; China; Perspective (graphical); PATH (variable); Public administration; Sustainable development; Information science; New media,,0
110-104-226-602-587,ON THE IMPACT OF TECHNOLOGICAL INNOVATIONS ON THE QUALITY OF WORK,2020-07-08,2020,journal article,Aelita V. Shaburova; Tamara A. Samolyk,"<jats:p>The article considers the relationship between technological innovations and labor quality. Labor quality is an integral characteristic of the degree of compliance of labor results with normative values. The main indicator of labor quality is productivity. Analysis of statistical data shows that labor productivity in Russia is quite low. Introduction of technological innovations in production will increase this indicator. Therefore, it will have a positive impact on the quality of work.</jats:p>",Business; Quality of work; Industrial organization,,0
110-697-315-938-556,Enhancing thermostability of lipase from <i>Pseudomonas alcaligenes</i> for producing <scp>l</scp>-menthol by the CREATE strategy,2022-04-19,2022,journal article,Zhonglang Yu; Haoran Yu; Jinling Xu; Zhe Wang; Ziyuan Wang; Tingting Kang; Kaitong Chen; Zhongji Pu; Jianping Wu; Lirong Yang; Gang Xu,<jats:p>Rapid enhancement of the thermostability of enzymes by the CREATE strategy.</jats:p>,Thermostability; Lipase; Alcaligenes; Pseudomonas; Chemistry; Food science; Microbiology,,1
111-172-544-460-925,Studies and Analyses of Political Science,2021-12-17,2021,journal article,Anna Makuch,"<jats:p>Research goal of the article has been set to verify the hypothesis according to which technological innovations contribute to systemic safety during the COVID-19 pandemic. The analyzed area contains key statements of available data regarding innovation impulses in the first pandemic period (2020 – spring/autumn). In the light of this data new trend has been confirmed to be using advanced technologies based on digital records in promoted solutions. Innovation in pandemic days meets conditions, not by classic definitions of the term “innovation” but rather “ultra-fast-innovation” which creatively uses digitalized tools. Technological innovations fulfill their role of aiding the safety process under the conditions which assume that network-based storage and data transfer systems are reliable and resistant against systemic crisis, which is a potential systemic threat.</jats:p>",Coronavirus disease 2019 (COVID-19); Politics; Key (lock); Process (computing); Set (abstract data type); Pandemic; Data science; Innovation process; Computer science; Knowledge management; Business; Political science,,0
111-673-866-626-583,Technical and Technological Innovations in Domestic Gardening Intensification,2021-06-03,2021,book chapter,Yuliya V. Chutcheva; Dzhabir Asadov; Emil Ibrahimov,"The paper analyzes the development of the horticulture industry, identifies its main trends and promising areas of further development aimed at achieving self-sufficiency of the country’s population with fruit and berry products. The authors identified certain technical equipment patterns for gardening that hinder the development of the industry and the solution to food security issues. During further research, the authors formulate and justify measures for the introduction of technical and technological innovations in gardening, contributing to its intensive development. The main idea is to form industrial integrated horticultural groups developed based on the active use of technological innovations. During the research, the authors applied analytical, comparative, and graphical methods.",Agriculture; Consumption (economics); Business; Natural resource economics; Horticulture industry; Production (economics); Population; Food security,,0
111-697-814-783-444,Construction of ajmalicine and sanguinarine de novo biosynthetic pathways using stable integration sites in yeast.,2022-01-31,2022,journal article,Tengfei Liu; Yuanwei Gou; Bei Zhang; Rui Gao; Chang Dong; Mingming Qi; Lihong Jiang; Xuanwei Ding; Chun Li; Jiazhang Lian,"Yeast cell factories have been increasingly employed for producing plant-derived natural products. Unfortunately, the stability of plant natural product biosynthetic pathway genes, particularly when driven by the same sets of promoters and terminators, remains one of the biggest concerns for synthetic biology. Here we profile genomic loci flanked by essential genes as stable integration sites in a genome-wide manner, for stable maintenance of multigene biosynthetic pathways in yeast. We demonstrate the application of our yeast integration platform in the construction of sanguinarine (24 expression cassettes) and ajmalicine (29 expression cassettes) de novo biosynthetic pathways for the first time. Moreover, we establish stable yeast cell factories that can produce 119.2 mg L<sup>-1</sup> heteroyohimbine alkaloids (containing 61.4 mg L<sup>-1</sup> ajmalicine) in shake flasks, representing the highest titer of monoterpene indole alkaloids (MIAs) ever reported and promising the complete biosynthesis of other high-value MIAs (such as vinblastine) for biotechnological applications.",Sanguinarine; Yeast; Biology; Gene; Natural product; Biosynthesis; Synthetic biology; Metabolic engineering; Genome; Biochemistry; Computational biology,CRISPR/Cas9; ajmalicine; alkaloids; multiplex genome integration; plant natural products; sanguinarine,5
111-937-500-022-845,The Spatiotemporal Distribution and Drivers of Urban Carbon Emission Efficiency: The Role of Technological Innovation.,2022-07-26,2022,journal article,Ruijing Zheng; Yu Cheng; Haimeng Liu; Wei Chen; Xiaodong Chen; Yaping Wang,"Urban agglomerations have become the core areas for carbon reduction in China since they account for around 75% of its total emissions. Beijing-Tianjin-Hebei (BTH), Yangtze River Delta (YRD), and the Pearl River Delta (PRD), which are its most important poles of regional development and technological innovation, are key to achieving China's carbon peak emissions target. Based on the panel data of these three major urban agglomerations from 2003 to 2017, this study estimated the carbon emission efficiency (CEE) by the super-efficiency slacks-based measure (super-SBM) model and analyzed its spatiotemporal distribution pattern. The Dagum Gini coefficient was used to evaluate the difference in CEE between the three major agglomerations, while panel data models were established to analyze the impact of technological innovation on the three agglomerations. The overall CEE showed an upward trend during the study period, with significant spatial and temporal variations. Additionally, the main source of urban agglomeration difference in CEE evolved from inter-regional net differences to intensity of transvariation. While technological innovations are expected to significantly improve CEE, their effect varies among urban agglomerations. These results provide policymakers with insights on the collaborative planning of urban agglomerations and the low-carbon economy.",Urban agglomeration; Gini coefficient; Panel data; Economic geography; China; Beijing; Economies of agglomeration; Distribution (mathematics); Theil index; Geography; Environmental science,carbon emission efficiency; panel data models; spatiotemporal pattern; super-SBM model; technological innovation; urban agglomerations,0
112-765-113-755-190,Sport spectator adoption of technological innovations: a behavioral reasoning analysis of fan experience apps,2021-06-15,2021,journal article,Sebastian Uhrich,Mobile applications specifically designed for in-stadium use during games (referred to as fan experience apps) are an emergent technological innovation in professional team sports around the globe....,Sociology; Globe; Team sport; Innovation adoption; Public relations,,1
112-794-266-774-037,A Systematic Review of Artificial Intelligence and Machine Learning Techniques for Cyber Security,2020-08-14,2020,book chapter,Rahman Ali; Asmat Ali; Farkhund Iqbal; Asad Masood Khattak; Saiqa Aleem,"The use of technologies, procedures, and practices, designed to protect networks, programs, and data from attacks, damages, or unauthorized access, are called cyber security. Research community has applied different methods in the area of detection of cyber security attacks. However, literature lacks a systematic literature review (SLR) to summarize the use of Artificial Intelligence (AI) and Machine Learning (ML) methods, specifically the use of classifiers, in the detection of cyber security attacks. To cover the vacuum, this paper presents a systematic literature review of existing classification algorithms, applied to the area of detection of cyber security attacks. Relevant literature, qualifying specialized search criteria, is retrieved and extracted from the online libraries of Science Direct and Google Scholar. Total 63 research articles were found in these libraries, which are further filtered and refined to 21 articles. These 21 articles are critically reviewed and the following information are extracted: method used, classifier used, problem solved and domain selected. From the extracted information, a detailed taxonomy is prepared and presented to help beginners in the area to understand the problem. As a result of meta-level analysis, it is concluded that Support Vector Machine (SVM), Random Forest (RF), Decision Tree (DT) and Artificial Neural Network (ANN) are the most frequently used classifiers in the area of detection of cyber security.",Statistical classification; Machine learning; Support vector machine; Artificial intelligence; Random forest; Systematic review; Computer security; Computer science; Artificial neural network; Decision tree; Classifier (UML),,4
112-832-310-961-580,Environment Regulation and Green Total Factor Productivity: A Case Study in the Yellow River Basin,2022-07-07,2022,journal article,Xinzhe Qi,"<jats:p>&lt;p&gt;From the perspective of the dual effects of cost and technological innovation, the impacts of two types of environmental regulations and their synergistic effects on green total factor productivity are analyzed. Research shows that: the command type, market-oriented green total factor productivity improvements of the basin show a positive role in promoting, at the same time, market-oriented regulation strength instead of their own technological innovation ability in the work together in the valley of green in the process of the total factor productivity improvements, cooperate efforts to achieve better coordination between them, realize the coordinated development.&lt;/p&gt;</jats:p>",Productivity; Total factor productivity; Business; Industrial organization; Structural basin; Environmental economics; Natural resource economics,,0
112-882-680-475-841,Visual Analysis of the Development and Hot Spots of Chinese enterprises' Management,,2020,conference proceedings article,Yi Wang; Xiaojun Chi; Ming Liu,"Under the background of Internet economy, accelerating the pace of scientific and technological innovation of enterprises and realizing the artificial intelligence of enterprise operation and management have become the common goals pursued by entrepreneurs and scientific researchers. This paper takes seven Chinese management core journals as samples. The articles in these journals published between January 2000 and December 2019, are used as a database and analyzed by the CiteSpace of knowledge map to detect and visualize the important changes and development trends in the development of enterprise operation and management. It is concluded that the hot spots of Chinese enterprise management mode in the past two decades mainly include supply chain, technological innovation, management science, e-commerce and capital structure and so on. Moreover, innovation and Internet economy are the key points of enterprise management in the future. This study reveals that the reason that hinders the development and expansion of Chinese enterprises is that the investment in financial assets and physical assets occupies the proportion of investment in scientific research and development, leading to the low degree of technological innovation and management innovation of enterprises. Therefore, this paper has a guiding effect on the reform and development of enterprises and helps enterprises to enhance their innovation driving force.",Supply chain; The Internet; Business; Capital structure; Digital economy; Market research; Investment (macroeconomics); Pace; Enterprise management; Industrial organization,,0
113-300-145-742-796,Evaluation of innovation driven capability and diagnosis of obstacle factors based on comprehensive index method--a case study of Qingdao Marine Industry,2021-02-01,2021,journal article,Xiaoying Zhang; Hao Leng; Yaru Huang; Wei Yan,"<jats:title>Abstract</jats:title>;                <jats:p>China is a big ocean country, and marine economy plays an important role in the national economic system. It is urgent to develop marine resources scientifically, protect marine ecological environment, and improve the quality and efficiency of marine economic development. As the main force of marine economic growth has changed from relying on resources to technological innovation, the evaluation of innovation driven capacity has become an indispensable and important link. Taking the marine industry of Qingdao as the research object, this paper uses the comprehensive index method to construct the evaluation index system of innovation driven ability from three aspects: the basic level of scientific and technological innovation, the input and output of scientific and technological innovation of marine industry, and analyzes the driving capacity and obstacle factors of the current marine industry in Qingdao. The results show that the innovation driven development ability of Qingdao is outstanding, and the innovation driven development ability is closely related to innovation investment, scientific research and innovation environment and other factors. According to the research results, the paper puts forward some measures to further enhance the innovation driven ability.</jats:p>",Risk analysis (engineering); Business; Obstacle; Marine industry; Index method,,3
113-417-182-201-672,IHSI - Impact of Technological Innovation on the Productivity of Manufacturing Companies in Peru,2020-01-22,2020,book,Julio César Ortíz Berrú; Cristhian Nicolás Aldana Yarlequé; Lucio Leo Verástegui Huanca,"It is estimated the relationship between the investment in innovation activities, the results of innovation and productivity in Peruvian manufacturing firms, using the multi-equation model, called the CDM model, which studies the entire innovation process. The quantile regression approach was used, using data from the II National Survey of Innovation in the Manufacturing Industry 2015 in Peru. The findings were that technological innovation is associated with a 56% increase in productivity in the company. Finally, the quantile regression approach shows that the effect of technological innovation on the firm’s productivity is heterogeneous, increasing the effect on bigger firms. If investment in technological activities increases by 1%, then the labor productivity increases by 0.22% and the returns of innovation depend on the entrepreneurial position according the distribution of productivity.",Business; Manufacturing; Position (finance); Productivity; Investment (macroeconomics); Innovation process; Manufacturing firms; Distribution (economics); Industrial organization; Quantile regression,,0
113-571-874-003-760,A ROS-responsive synergistic delivery system for combined immunotherapy and chemotherapy.,2022-05-11,2022,journal article,Doudou Hu; Wei Zhang; Jiajia Xiang; Dongdong Li; Yong Chen; Pengcheng Yuan; Shiqun Shao; Zhuxian Zhou; Youqing Shen; Jianbin Tang,"Immune checkpoint blockade (ICB) therapies that target programmed cell death-1 (PD-1)/programmed cell death-ligand 1 (PD-L1) pathway are currently used for the treatment of various cancer types. However, low response rates of ICB remain the major issue and limit their applications in clinic. Here, we developed a ROS-responsive synergistic delivery system (pep-PAPM@PTX) by integrating physically-encapsulated paclitaxel (PTX) and surface-modified anti-PD-L1 peptide (pep) for combined chemotherapy and ICB therapy. Pep-PAPM@PTX could bind the cell surface PD-L1 and drive its recycling to lysosomal degradation, thus reverting PTX-induced PD-L1 upregulation and downregulating PD-L1 expression. As a result, pep-PAPM@PTX significantly promoted T cell infiltration and increased tumor immunoactivating factors, synergizing PTX chemotherapy to achieve enhanced anticancer potency in a triple-negative breast cancer (TNBC) model.",Paclitaxel; Cancer research; Chemotherapy; Triple-negative breast cancer; Immunotherapy; Pharmacology; PD-L1; Downregulation and upregulation; Chemistry; Medicine,Combination therapy; Immune checkpoint blockade; Immunotherapy; ROS-Responsive; Synergistic effect,1
113-605-472-283-459,Technological innovation on economic growth from the perspective of investment-oriented environmental regulations: considering the threshold effect of China human capital,2021-04-11,2021,journal article,Zhimin Dai; Xiuheng Shen; Lu Guo,An investment-oriented environment and its regulations are the inevitable background when major economies face investment-driven economic development. While technological innovation helps form a co...,Economics; China; Perspective (graphical); Investment (macroeconomics); Human capital; Face (sociological concept); Threshold effect; Economic system,,3
113-672-668-498-70X,Research on the Coupling Mechanism of Creative Spirit Cultivation and Scientific and Technological Innovation Development,2021-08-30,2021,journal article,Ning Wang,"Migration and innovation is the driving force of scientific and technological development. By analyzing the coupling relationship between the two, this paper finds out the common elements shared by the two factors, and constructs the coupling guarantee mechanism between them, so as to provide suggestions for the coordination, win-win and synchronous benign development of the spirit of makers and the development of scientific and technological innovation, and promote the sustainable development of the national innovation system.",Business; National innovation system; Mechanism (sociology); Innovation development; Coupling (computer programming); Sustainable development; Knowledge management,,0
114-208-116-286-255,"Exploring the effect of professionalization, risk-taking and technological innovation on business performance.",2022-02-10,2022,journal article,Francisca García-Lopera; José Manuel Santos-Jaén; Mercedes Palacios-Manzano; Daniel Ruiz-Palomo,"The aim of this paper is to analize the influence of professionalization over firm's performance and the effect of two mediating variables, risk-taking and technological innovation. A total of 310 Spanish SMEs were surveyed, and the study was conducted using partial least squares path modelling (PLS-SEM) technique. The findings showed that firm's performance is influenced by professionalization, risk-taking and technological innovation. These effects are not only direct and positive, but there are also important indirect effects that reinforce the positive effects of professionalization on firm's performance. This research contributes to the literature on professionalization considering mediating effects of risk-taking and technological innovation in the relationship between professionalization and firm's performance. The results provide interesting implications for theory and practice, indicating how companies can orient their strategies with the aim of gaining competitive advantage in order to increase their performance.",Professionalization; Order (exchange); Competitive advantage; Industrial organization; Path analysis (statistics); Business; Technological change; Marketing,,1
114-377-735-944-023,"Data-driven computational intelligence applied to dengue outbreak forecasting: a case study at the scale of the city of Natal, RN-Brazil.",2022-04-21,2022,journal article,Ignacio Sanchez-Gendriz; Gustavo Fontoura de Souza; Ion G M de Andrade; Adrião Duarte Doria Neto; Alessandre de Medeiros Tavares; Daniele M S Barros; Antonio Higor Freire de Morais; Leonardo J Galvão-Lima; Ricardo Alexsandro de Medeiros Valentim,"Dengue is recognized as a health problem that causes significant socioeconomic impacts throughout the world, affecting millions of people each year. A commonly used method for monitoring the dengue vector is to count the eggs that Aedes aegypti mosquitoes have laid in spatially distributed ovitraps. Given this approach, the present study uses a database collected from 397 ovitraps allocated across the city of Natal, RN-Brazil. The Egg Density Index for each neighborhood was computed weekly, over four complete years (from 2016 to 2019), and simultaneously analyzed with the dengue case incidence. Our results illustrate that the incidence of dengue is related to the socioeconomic level of the neighborhoods in the city of Natal. A deep learning algorithm was used to predict future dengue case incidence, either based on the previous weeks of dengue incidence or the number of eggs present in the ovitraps. The analysis reveals that ovitrap data allows earlier prediction (four to six weeks) compared to dengue incidence itself (one week). Therefore, the results validate that the quantification of Aedes aegypti eggs can be valuable for the early planning of public health interventions.",Dengue fever; Incidence (geometry); Socioeconomic status; Aedes aegypti; Outbreak; Scale (ratio); Geography; Environmental health; Psychological intervention; Demography; Aedes; Public health; Medicine,,2
115-352-011-352-650,Technological innovation,2022-07-19,2022,preprint,Mindsponge AISDL,"<p>Technological innovation is an extended concept of innovation. While innovation is a rather well-defined concept, it has a broad meaning to many people, and especially numerous understanding in the academic and business world.</p>",Meaning (existential); Innovation management; Business; Open innovation; Technological change; Knowledge management,,0
115-921-171-012-521,"Smart City Governance, Stakeholder's Satisfaction, And Crime Prevention: Moderating Impact of Institutional and Technological Innovation",2022-06-21,2022,preprint,Syed Asad Abbas Bokhari; Myeong SeungHwan,"<jats:p>&lt;p&gt;  &lt;/p&gt;; &lt;strong&gt;Abstract&lt;/strong&gt;; &lt;p&gt;Successful institutional and technological innovations are critical for smart city governance. The intrinsic complexity that characterizes institutional and technological innovations in smart cities is examined in this paper. A city's ability to innovate is heavily reliant on its technology and its ability to deploy it. This paper goes beyond the direct connections between smart city governance and stakeholder satisfaction and smart city governance and crime rate by proposing that institutional and technological innovation play a moderating role in these relationships. Multiple regression models were developed by surveying 214 Pakistani public and private citizens with a questionnaire. Using stakeholders and innovation theories, an analysis of the relationships between smart governance, stakeholder satisfaction, and city crime rates reveals a moderating role of institutional and technological innovation.&lt;/p&gt;</jats:p>",Corporate governance; Stakeholder; Business; Smart city,,0
116-025-903-729-642,Analyzing the Effects of Scientific and Technological Innovation Factors on Regional Development in China,2020-06-01,2020,,Joonho Jeong,"The purpose of this paper is to analyze the effects of scientific and technological innovation factors on regional development in China. This paper analyzes 31 regions in China, used the Gross Regional Domestic Product(GRDP), which is an objective benchmark indicating a region’s economic development, as the dependent variable, and selected 5 factors, i.e. population, education, culture, economy and scientific and technological innovation, as independent variables affecting the regional economic development in consideration of previous findings and China’s economic development. Based on the factor analysis of GRDP which is the benchmark of the size of a regional economy, permanent resident population, fixed assets investment in culture, sports and entertainment industry, proportion of education expenditure out of a regional government’s total budget spending were grouped into socio-cultural factors. Total investment of foreign invested enterprises and aggregate scientific and technological innovation indicators were included in the economic innovation factor. The multiple regression analysis indicated abundant local workforce, aggressive investment in culture, total investment of foreign invested enterprises and scientific and technological innovation were the factors that had positive effects on regional economic development. Most of all, regional economic development was most affected by the total investment of foreign invested enterprises, but least affected by scientific and technological innovation. Also, non-economic factors which were grouped into the socio-cultural factors in regional economic development served as relatively important influence factors.",Product (category theory); Business; Government; China; Economic geography; Investment (macroeconomics); Workforce; Population; Entertainment industry; Fixed asset,,0
116-226-184-075-283,Evaluation of Scientific and Technological Innovation Capability in Guangzhou Based on Cross-Efficiency DEA,2020-07-24,2020,book chapter,Xue Deng; Ying Liang; Luyao Feng; Chuangjie Chen; Junfeng Zhao,"With the rapid development of the society, scientific and technological innovation has become a hot topic. This paper firstly constructs an evaluation index system for Guangzhou’s scientific and technological innovation ability. As we know that the traditional DEA model only pays attention to its own superiority index, ignoring the problem that there are too many effective units, which lead to the inability to give accurate ranking results of effective decision-making units. In order to overcome the limitations of the DEA model, this paper uses three types of cross-efficiency DEA models, including the friendly, confrontational and neutral type, to obtain the efficiency values and precise ranking of each decision-making unit. The results show that the three methods have differences, but they all passed the Kendall’s W test. In addition, this paper uses the vertical analysis to classify the scientific and technological innovation ability of each district of Guangzhou.",Environmental economics; Order (exchange); Ranking; Index (economics); Index system; Cross efficiency; Computer science; Unit (housing),,0
116-541-387-489-822,A patent-based method for monitoring the development of technological innovations based on knowledge diffusion,2020-04-20,2020,journal article,Wei Liu; Runhua Tan; Zibiao Li; Guozhong Cao; Fei Yu,"The purpose of this paper is to investigate the diffusion patterns of knowledge in inspiring technological innovations and to enable monitoring development trends of technological innovations based on patent data analysis, thus, to manage knowledge wisely to innovate.,The notion of knowledge innovation potential (KIP) is proposed to measure the innovativeness of knowledge by the cumulative number of patents originated from its inspiration. KIP calculating formula is regressed in forms of two specific diffusion models by conducting a series of empirical studies with the patent-based indicators involving forward and backward citation numbers to reveal knowledge managing strategies regarding innovative activities.,Two specific diffusion models for regressing KIP formula are compared by empirical studies with the result indicating the Gompertz model has higher accuracy than the Logistic model to describe the developing curve of technological innovations. Moreover, the analysis of patent-based indicators over diffusion stages also revealed that patents applied at earlier diffusion stages normally has higher forward citation numbers indicating higher innovativeness meanwhile the patents applied at the latter stages usually requiring more knowledge inflows observed by their larger non-patent citation and backward citation amounts.,Although there is a large body of literature concerning knowledge-based technological innovation, there still room for discussing the mechanism of how knowledge diffuses and inspired knowledge. To the best of authors' knowledge, this study is the first attempt to quantitate the innovativeness of knowledge in technological innovation from the knowledge diffusion perspective with findings to support rational knowledge management related to innovation activities.",Empirical research; Gompertz function; Diffusion (business); Citation; Knowledge innovation; Rational knowledge; Computer science; Knowledge management,,7
116-764-799-463-408,Research on the Ways of Cultivating Teenagers' Scientific and Technological Innovation Ability Based on Matrix Algorithm,2021-09-24,2021,conference proceedings article,Yongli Ren; Dafeng Liu; Shu Xu; Jie Guo,"Scientific and technological innovation is the strategic support for improving social productivity and comprehensive national strength, and must be placed at the core of the overall development of the country. With the deepening of education reform and the further promotion of quality education, all sectors of society pay more and more attention to teenagers' awareness of scientific and technological innovation. Develop the potential of teenagers by cultivating their learning ability, and encourage them to practice, explore and innovate. Based on matrix algorithm, this paper analyzes the factors of the structural model of teenagers' scientific and technological innovation ability, and constructs the structural model of teenagers' scientific and technological innovation ability, which includes three dimensions: creative generation thinking ability, creative promotion thinking ability and creative realization thinking ability. With the help of this model, we can improve the overall scientific quality of young people and train innovative talents in science and technology, and provide a convenient ascending channel for the growth of innovative talents in science and technology.",Algorithm; Sociology; Productivity; Matrix (music); Quality (business); Quality education; Education reform; Promotion (rank),,1
